Question,Answer
From which country is the film A Beautiful Mind?,America
When was the film A beautiful Mind released?,2001
Of which genre is the film A Beautiful Mind?,biographical drama
What is John Nash's profession?,mathematician
Which prices did John Nash win?,Nobel price in Economics and Abel Prize
By which book was the film inspired?,the bestselling Pulitzer Prize-nominated 1998 book of the same name by Sylvia Nasar
Who is acting in the film?,"Russell Crowe, along with Ed Harris, Jennifer Connelly, Paul Bettany, Adam Goldberg, Judd Hirsch, Josh Lucas, Anthony Rapp, and Christopher Plummer in supporting roles"
At which university was Nash a graduate student?,Princeton University
What disease did Nash develop?,paranoid schizophrenia
When did the film open in the United states?,"December 21, 2001"
How much did the film gross?,over $313 million worldwide
How many Academy Awards did the film win?,four
Did the film win  an Academy Award?,yes
